SMILES,logP,tPSA,MW,SweetSpot
c1ccc(cc1)N2CNC(=O)C23CCN(CC3)CCCCc4c[nH]c5c4cccc5,3.92,51.37,402.2,No
c1ccc(cc1)OC[C@H]2CC[C@H]3CN(CCN3C2)c4ncccn4,2.46,41.49,324.2,Yes
c1ccc(cc1)OC[C@@H]2CC[C@H]3CN(CCN3C2)c4ccccn4,3.06,28.6,323.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccccc3)O)c4ccc(cc4)F,4.54,41.29,365.2,No
COc1cccc(c1)C(=O)CCCN2CCN(CC2)c3ccccc3OC,3.49,42.01,368.2,No
c1ccc(cc1)CN2CCN(CC2)c3c4cc[nH]c4ccc3Cl,4.14,22.27,325.1,No
COc1cc(c(cc1OC)OCCF)CN2CCN(CC2)c3ccc(cc3)Cl,4.03,34.17,408.2,No
c1ccc(cc1)C[n+]2cc[n+](cc2)c3c4cc[nH]c4ccc3Cl,3.43,23.55,321.1,No
c1ccc(cc1)CCC2CCN(CC2)Cc3c[nH]c4c3cccn4,4.41,31.92,319.2,No
COc1cccc(c1)C(=O)NCCCN2CCN(CC2)c3ccccc3OC,2.65,54.04,383.2,Yes
CCCN1CCC[C@H]2[C@H]1Cc3c[nH]nc3C2,2,31.92,219.2,No
Cc1ccc(cc1C)C2CCN(CC2)Cc3ccc4c(c3)NC(=O)CO4,4.01,41.57,350.2,No
COc1ccccc1N2CCN(CC2)Cc3ccc(c(c3)OC)OCCF,3.37,34.17,374.2,No
COc1cc(c(cc1C(=O)N[C@H]2CCN(C2)Cc3ccccc3)Cl)NC(=O)C(F)(F)F,3.85,70.67,455.1,No
c1ccc(cc1)N2CCN(CC2)Cc3c[nH]c4c3cccn4,2.89,35.16,292.2,No
COc1ccccc1N2CCN(CC2)CCCCN3CCc4ccccc4C3=O,3.3,36.02,393.2,No
COc1ccccc1N2CCN(CC2)Cc3cc(c-4cccccc34)CN5CCCCC5,5.11,18.95,429.3,No
c1ccc(cc1)CCC2CCN(CC2)Cc3cc-4ccc[nH]c4n3,4.36,31.92,319.2,No
c1ccc(cc1)OC[C@@H](CN2CCC(CC2)Oc3ccccc3)O,2.97,41.93,327.2,Yes
c1cc(ccc1OC[C@H]2CC[C@H]3CN(CCN3C2)c4ncc(cn4)F)F,2.73,41.49,360.2,Yes
Cc1c(nc(n1C2CCN(CC2)CC3CCCCC3)O)c4ccccc4,4.78,41.29,353.2,No
c1ccc(cc1)OCCCNCCOc2ccccc2,3.12,30.49,271.2,No
